Total Primary Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.M
17:47:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TETCBUS.M Trillion Btu
Aug 2018,8708.16
Jul 2018,8609.3
Jun 2018,8149.445
May 2018,8021.117
Apr 2018,7885.433
Mar 2018,8684.582
Feb 2018,8074.767
Jan 2018,9655.409
Dec 2017,9236.555
Nov 2017,8135.75
Oct 2017,7845.024
Sep 2017,7636.766
Aug 2017,8307.883
Jul 2017,8441.678
Jun 2017,7973.908
May 2017,7809.195
Apr 2017,7457.019
Mar 2017,8433.752
Feb 2017,7622.006
Jan 2017,8980.434
Dec 2016,9090.311
Nov 2016,7724.267
Oct 2016,7659.346
Sep 2016,7756.993
Aug 2016,8547.841
Jul 2016,8479.555
Jun 2016,7940.306
May 2016,7589.128
Apr 2016,7453.868
Mar 2016,7988.318
Feb 2016,8233.758
Jan 2016,9059.96
Dec 2015,8379.018
Nov 2015,7684.262
Oct 2015,7625.323
Sep 2015,7694.434
Aug 2015,8321.835
Jul 2015,8438.055
Jun 2015,7909.442
May 2015,7652.129
Apr 2015,7471.053
Mar 2015,8435.164
Feb 2015,8612.522
Jan 2015,9292.748
Dec 2014,8810.438
Nov 2014,8208.219
Oct 2014,7773.04
Sep 2014,7662.252
Aug 2014,8222.075
Jul 2014,8240.025
Jun 2014,7787.279
May 2014,7654.965
Apr 2014,7563.754
Mar 2014,8532.832
Feb 2014,8435.055
Jan 2014,9597.476
Dec 2013,9084.557
Nov 2013,8139.385
Oct 2013,7729.789
Sep 2013,7646.976
Aug 2013,8177.588
Jul 2013,8278.524
Jun 2013,7729.694
May 2013,7624.542
Apr 2013,7527.478
Mar 2013,8387.226
Feb 2013,8020.339
Jan 2013,8987.891
Dec 2012,8395.913
Nov 2012,7769.379
Oct 2012,7575.059
Sep 2012,7371.496
Aug 2012,8233.164
Jul 2012,8295.7
Jun 2012,7735.767
May 2012,7613.83
Apr 2012,7220.91
Mar 2012,7679.563
Feb 2012,7965.14
Jan 2012,8675.881
Dec 2011,8577.674
Nov 2011,7785.453
Oct 2011,7573.961
Sep 2011,7558.026
Aug 2011,8403.739
Jul 2011,8379.823
Jun 2011,7888.75
May 2011,7574.279
Apr 2011,7494.053
Mar 2011,8334.016
Feb 2011,8100.186
Jan 2011,9290.094
Dec 2010,9222.291
Nov 2010,7786.653
Oct 2010,7496.765
Sep 2010,7685.307
Aug 2010,8434.888
Jul 2010,8371.194
Jun 2010,7999.252
May 2010,7667.622
Apr 2010,7361.076
Mar 2010,8192.466
Feb 2010,8204.549
Jan 2010,9121.89
Dec 2009,8844.724
Nov 2009,7452.965
Oct 2009,7477.653
Sep 2009,7275.728
Aug 2009,7967.259
Jul 2009,7819.433
Jun 2009,7540.794
May 2009,7291.033
Apr 2009,7344.836
Mar 2009,8053.429
Feb 2009,7877.464
Jan 2009,9132.892
Dec 2008,8798.701
Nov 2008,7810.301
Oct 2008,7784.983
Sep 2008,7352.76
Aug 2008,8217.76
Jul 2008,8418.132
Jun 2008,8043.044
May 2008,7897.137
Apr 2008,7838.339
Mar 2008,8591.288
Feb 2008,8655.698
Jan 2008,9416.811
Dec 2007,9088.554
Nov 2007,8081.343
Oct 2007,7971.07
Sep 2007,7940.003
Aug 2007,8819.221
Jul 2007,8489.769
Jun 2007,8096.704
May 2007,8020.219
Apr 2007,7922.601
